站點名稱,經度,緯度,圖片URL,站點位置,F6,F7
新竹火車站(前站),120.971459,24.801815,http://opendata-manage.hccg.gov.tw/img/24/youbike01.jpg,中華路二段445號(火車站前廣場),,
東門圓環,120.970556,24.803866,http://opendata-manage.hccg.gov.tw/img/24/youbike02.jpg,勝利路2號(對面圓環人行道),,
新竹市政府,120.96926,24.806138,http://opendata-manage.hccg.gov.tw/img/24/youbike03.jpg,中央路106號(對面人行道),,
明志書院立體停車場,120.96576,24.80167,http://opendata-manage.hccg.gov.tw/img/24/youbike04.jpg,西大路317號(停車場前人行道),,
辛志平校長故居,120.973662,24.804317,http://opendata-manage.hccg.gov.tw/img/24/youbike05.jpg,東門街32號(汽車停車場),,
中正北大路口,120.967098,24.808979,http://opendata-manage.hccg.gov.tw/img/24/youbike06.jpg,中正路146號(機車停車場),,
延平停車場,120.956616,24.803791,http://opendata-manage.hccg.gov.tw/img/24/youbike07.jpg,延平路一段159巷22號(對面機車停車格),,
建國公園,120.966675,24.803382,http://opendata-manage.hccg.gov.tw/img/24/youbike08.jpg,西門街1號(對面汽車停車格),,
新竹公園(公園路),120.978717,24.802579,http://opendata-manage.hccg.gov.tw/img/24/youbike09.jpg,公園路300號(左側人行道),,
遠東巨城購物中心,120.974258,24.809326,http://opendata-manage.hccg.gov.tw/img/24/youbike10.jpg,民權路171號(對面人行道),,
三民公園,120.979624,24.811226,http://opendata-manage.hccg.gov.tw/img/24/youbike11.jpg,中央路364-1號(網球場前人行道),,
新竹轉運站,120.973191,24.800896,http://opendata-manage.hccg.gov.tw/img/24/youbike12.jpg,東南街1巷6號(轉運站對面人行廣場),,
新竹馬偕紀念醫院,120.991278,24.800074,http://opendata-manage.hccg.gov.tw/img/24/youbike13.jpg,光復路二段690號(水源街對面公園人行道),,
新源建功一路口,120.9932,24.802771,http://opendata-manage.hccg.gov.tw/img/24/youbike14.jpg,新源街138號(對面人行道),,
清華大學(北校門),120.996686,24.796842,http://opendata-manage.hccg.gov.tw/img/24/youbike15.jpg,光復路二段101號(面校門右側人行道),,
綠光公園,120.985033,24.812458,http://opendata-manage.hccg.gov.tw/img/24/youbike16.jpg,鐵道路一段28巷79號(對面公園綠帶),,
新竹教育大學,120.964533,24.794294,http://opendata-manage.hccg.gov.tw/img/24/youbike17.jpg,南大路560號(對面人行道),,
竹蓮寺,120.97042,24.798283,http://opendata-manage.hccg.gov.tw/img/24/youbike18.jpg,竹蓮街72號(對面人行道),,
北區區公所,120.970561,24.816444,http://opendata-manage.hccg.gov.tw/img/24/youbike19.jpg,國華街69號(區公所前廣場),,
經國民生路口,120.973992,24.813884,http://opendata-manage.hccg.gov.tw/img/24/youbike20.jpg,民生路309號(旁公園綠帶),,
湳雅公園,120.967956,24.820368,http://opendata-manage.hccg.gov.tw/img/24/youbike21.jpg,武陵路157號(對面人行道),,
天公壇,120.957256,24.799426,http://opendata-manage.hccg.gov.tw/img/24/youbike22.jpg,中山路與中山路452巷口(西雅公園),,
光復關新路口,121.01833,24.784875,http://opendata-manage.hccg.gov.tw/img/24/youbike23.jpg,關新路21號(大樓前人行道),,
金山街(集福宮),121.021936,24.777737,http://opendata-manage.hccg.gov.tw/img/24/youbike24.jpg,金山街63號(對面公園綠地),,
香山國小,120.944523,24.796454,http://opendata-manage.hccg.gov.tw/img/24/youbike25.jpg,牛埔東路260號(校門右側人行道),,
北新竹火車站(新竹高工),120.983512,24.809629,http://opendata-manage.hccg.gov.tw/img/24/youbike26.jpg,中華路二段2-1號前人行道,,
新莊火車站,121.021833,24.788113,http://opendata-manage.hccg.gov.tw/img/24/youbike27.jpg,關東路310號(車站出口右側人行道),,
千甲火車站,121.002064,24.807119,http://opendata-manage.hccg.gov.tw/img/24/youbike28.jpg,千甲路138-5號(民宅對面高架橋下),,
三姓橋火車站,120.92856,24.786994,http://opendata-manage.hccg.gov.tw/img/24/youbike29.jpg,元培街32巷30號(車站出口前廣場),,
香山火車站,120.913819,24.763156,http://opendata-manage.hccg.gov.tw/img/24/youbike30.jpg,中華路五段347巷2弄27號(火車站前廣場),,
交通大學(大學路),121.00026,24.7894,http://opendata-manage.hccg.gov.tw/img/24/youbike31.jpg,大學路200號(對面人行道),,
元培醫事科技大學,120.940465,24.778031,http://opendata-manage.hccg.gov.tw/img/24/youbike32.jpg,元培街306號(校門對面機車停車場),,
樹林頭公園,120.959777,24.821613,http://opendata-manage.hccg.gov.tw/img/24/youbike33.jpg,東大路二段537號(對面汽車停車場),,
清華大學(小吃部),120.99347,24.79288,http://opendata-manage.hccg.gov.tw/img/24/youbike34.jpg,光復路二段101號(小吃部左側廣場),,
交通大學(逐風廣場),120.99964,24.7849,http://opendata-manage.hccg.gov.tw/img/24/youbike35.jpg,大學路1001號(女二宿前廣場),,
赤土崎公園,120.9942,24.79974,http://opendata-manage.hccg.gov.tw/img/24/youbike36.jpg,光復路二段153號(對面人行道),,
國賓大飯店(新光三越),120.978,24.80613,http://opendata-manage.hccg.gov.tw/img/24/youbike37.jpg,中華路二段188號(前人行道),,
新莊公園,121.01736,24.78743,http://opendata-manage.hccg.gov.tw/img/24/youbike38.jpg,新莊街212號旁(公園人行道),,
東大武陵路口(國軍新竹醫院),120.96398,24.81713,http://opendata-manage.hccg.gov.tw/img/24/youbike39.jpg,東大路二段261號(旁人行道),,
新竹和平公園,120.95243,24.79912,http://opendata-manage.hccg.gov.tw/img/24/youbike40.jpg,經國路三段78巷18號(對面公園人行道),,
青草湖(煙波大飯店),120.97008,24.77386,http://opendata-manage.hccg.gov.tw/img/24/youbike41.jpg,明湖路773號對面公園人行道,,
十八尖山(新竹高商),120.987619,24.797087,http://opendata-manage.hccg.gov.tw/img/24/youbike42.jpg,博愛街5巷2號對面停車場,,
虎林棒球場,120.944251,24.805122,http://opendata-manage.hccg.gov.tw/img/24/youbike43.jpg,延平路一段541號對面人行道,,
新竹棒球場,120.960621,24.807606,http://opendata-manage.hccg.gov.tw/img/24/youbike44.jpg,民富街141號對面人行道,,
新竹市文化局,120.96873,24.811967,http://opendata-manage.hccg.gov.tw/img/24/youbike45.jpg,東大路二段15巷1號前人行道,,
交通大學(研三舍),120.996969,24.784193,http://opendata-manage.hccg.gov.tw/img/24/youbike46.jpg,交通大學綜合一館(南側出入口),,
清華大學(台達館),120.991966,24.795358,http://opendata-manage.hccg.gov.tw/img/24/youbike47.jpg,清華大學台達館(南側),,
大庄國小,120.927926,24.789427,http://opendata-manage.hccg.gov.tw/img/24/youbike56.jpg,大庄路48號,,
竹科管理局,121.00607,24.78142,http://opendata-manage.hccg.gov.tw/img/24/youbike48.jpg,新安路2號前人行道,,
科技生活館,121.0054,24.78004,http://opendata-manage.hccg.gov.tw/img/24/youbike49.jpg,工業東二路1號旁人行道,,
靜心湖,121.01078,24.77874,http://opendata-manage.hccg.gov.tw/img/24/youbike50.jpg,竹村七路7號前人行道,,
金山寺,121.01466,24.77739,http://opendata-manage.hccg.gov.tw/img/24/youbike51.jpg,湖濱二路201號旁(人行道),,
矽導研發中心停車場,121.01881,24.77279,http://opendata-manage.hccg.gov.tw/img/24/youbike52.jpg,力行二路2號前人行道,,
篤行會館,121.02517,24.77092,http://opendata-manage.hccg.gov.tw/img/24/youbike53.jpg,篤行路6號前人行道,,
園二園三廣場,121.01019,24.77282,http://opendata-manage.hccg.gov.tw/img/24/youbike54.jpg,園區三路1號(對面人行道),,
研發四路公園,120.99843,24.77884,http://opendata-manage.hccg.gov.tw/img/24/youbike55.jpg,園區二路15號(斜對面人行道),,
交通大學-新安路,120.9942,24.78386,http://opendata-manage.hccg.gov.tw/img/24/youbike57.jpg,新安路/園區三路口(東南側),,
研發二路停車場,121.00214,24.77778,http://opendata-manage.hccg.gov.tw/img/24/youbike58.jpg,研發二路/創新三路口(南側),,
力行一路力行六路口,121.0155,24.77395,http://opendata-manage.hccg.gov.tw/img/24/youbike59.jpg,力行一路/力行六路口(北側),,
聯園,121.01915,24.76807,http://opendata-manage.hccg.gov.tw/img/24/youbike60.jpg,力行三路/力行二路口(北側),,
園區三路研新一路口,120.99512,24.77678,http://opendata-manage.hccg.gov.tw/img/24/youbike61.jpg,研新一路/園區三路口(西北側),,
同業公會,121.00198,24.78228,http://opendata-manage.hccg.gov.tw/img/24/youbike62.jpg,展業一路/新安路(北側),,
興業二路停車場,120.98996,24.77872,http://opendata-manage.hccg.gov.tw/img/24/youbike63.jpg,興業二路/研新三路口(西側),,
