行政區,型式,場名,位置,經度,緯度,大型車,小型車,機慢車,收費標準,管理者資訊
茄萣區,立體,"興達港
(地上)",民族路51號,120.194328,22.871711,0,140,0,計時(5元/半小時),"俥亭停車事業股份有限公司/服務電話：(07)6989439/
履約期間:108.12.17-112.9.30"
岡山區,立體,"岡山
(地上)",岡山區大仁北路3號,120.301913,22.800222,0,154,0,計次(20元/8小時),服務電話：(07)621-4039
鼓山區,立體,"美術館
(地上&平面)","美術館路82號
(立體333格，外圍平面61格)",120.285431,22.655661,0,394,0,計次(30元/6小時),服務電話：(07)522-4374
鼓山區,立體,"鼓山國小
(地下)",鼓山區登山街與壽山街口旁,120.271732,22.624700,0,184,0,計時(15元/半小時),"歐特儀股份有限公司/服務電話：07-5316253/
履約期間：110.3.31-115.3.30"
左營區,立體,"海功
(地下)",海功路57號,120.297248,22.693528,0,506,0,計時(10元/半小時),"竑穗興業股份有限公司/服務電話：(07)5820597/
履約期間:107.1.1-111.12.31"
左營區,立體,"福山
(地下)",重信路35號,120.316536,22.683526,0,459,0,計時(5元/半小時),"詮營股份有限公司/服務電話：02-77310361/
履約期間:109.4.1-114.3.31"
三民區,立體,"十全
(地上)",十全路6號,120.314642,22.645086,0,208,0,計時(15元/半小時),"日月亭股份有限公司/(07)3807433/
履約期間109.1.21-114.1.20"
新興區,立體,"忠孝
(地下)",忠孝一路331號,120.306056,22.633395,0,568,0,計時(15元/半小時),"日月亭股份有限公司/服務電話：(07)235-1637/
履約期限:107.8.1-112.7.31"
新興區,立體,"民權輕鋼架
(地上)",民權一路221號,120.311551,22.623527,0,256,203,計時(15元/半小時),日月亭停車事業股份有限公司/服務電話：(07)229-2017/履約期間：110.11.1-115.10.31
新興區,立體,"財稅大樓
(地下)",中正三路25號,120.309858,22.630674,0,131,0,計時(15元/半小時),歐特儀股份有限公司/服務電話：07-2291941 /履約期間：111.7.1-116.6.30
前金區,立體,"自強
(地下)",文武一街65號,120.29344,22.631162,0,305,0,計時(15元/半小時),"歐特儀股份有限公司/服務電話：07-2150135/
履約期間：109.5.1-114.4.30"
鹽埕區,立體,"鹽埕
(地上)",大仁路10號,120.286378,22.624970,0,931,0,計時(15元/半小時),"俥亭停車事業股份有限公司/服務電話:07-5314002/
履約期間:108.10.1-112.9.30"
苓雅區,立體,"文化中心
(地下)",五福一路67號,120.318888,22.627123,0,830,0,計時(15元/半小時),"竑穗興業股份有限公司/服務電話：(07)225-3643/
履約期間:108.7.1~113.6.30"
苓雅區,立體,"凱旋
(地下)",凱旋二路130號,120.324037,22.625122,0,559,0,計時(10元/半小時),"歐特儀股份有限公司/服務電話：0933-103-225/
履約期間：110.4.1-115.3.31"
苓雅區,立體,"武廟
(地上)",輔仁路123號,120.332577,22.628847,0,121,180,計時(15元/半小時),"歐特儀股份有限公司/服務電話：07-7164421/
履約期間：109.5.9-114.5.8"
苓雅區,立體,"四維
(地上)",苓雅一路226號,120.311083,22.621429,0,819,1004,計時(15元/半小時),服務電話：(07)335-5062
前鎮區,立體,"盛興
(地下)",林森三路145號,120.308551,22.613565,0,382,0,計時(15元/半小時),服務電話：(07)331-5303
前鎮區,立體,"民權
(地下)",泰山街1號,120.315859,22.608298,0,479,0,計時(15元/半小時),"詮營股份有限公司/服務電話:02-77310370/
履約期間:109.10.1-114.9.30"
鳳山區,立體,"鳳山運動園區
(地下)",光華路68號,120.353817,22.621439,0,614,0,計時(15元/半小時),"日月亭股份有限公司/(07)7193409/
履約期間111.5.23-116.5.22"
鳳山區,立體,"五甲國宅社區
(地下)",國隆路6號(社區大公園地下1~2層),120.347375,22.616454,0,204,0,計次(30元/6小時),"日月亭停車事業股份有限公司/服務電話07-7636295/0902-380378
履約時間111.1.1~115.12.31"
小港區,立體,"小港
(地下)",小港路175號,120.338011,22.564404,0,219,0,計時(10元/半小時),"辰淵企業股份有限公司/服務電話：(07)815-9068/
履約期間:111.5.1-116.4.30"
小港區,立體,"小港自行車
(地上)",西部濱海公路250-260號,120.354409,22.564354,0,0,0,不收費,"歐特儀股份有限公司/服務電話：0903-030-408/
履約期間：110.4.1-115.3.31"
林園區,立體,"林園
(地上)",林園區林園南路77號,120.395874,22.502752,0,244,0,計時(5元/半小時),"竑穗興業股份有限公司/服務電話：(07)646-0526/
履約期間:108.7.1~113.6.30"
甲仙區,平面,甲仙,"一區：林森路70號旁(18格)
二區：成功洗衣店旁(17格)
三區：小林社區發展協會旁(13格)","120.587988
120.587394
120.635224","23.082862
23.082262
23.150325",0,56,0,不收費,-
杉林區,平面,日光小林社區,"A區：日光一街街底轉角(12格)
B區：忠義路底土地公廟旁(5格)",120.554136,22.980929,0,17,0,不收費,-
杉林區,平面,大愛園區,"A區:清水路中學巷（萊爾富杉林大愛店旁）(14格)
B區:和氣街二巷1號對面（杉林重生教會對面）(40格)
C區:合心路與互愛街口（66格）","120.542510
120.542328
120.539572","22.969360
22.966443
22.962941",27,120,0,不收費,環球大宇宙太陽能工業有限公司維護管理/服務電話：0980-889-269/履約期間:110.6.1-120.4.30
美濃區,平面,泰安,"A區：高雄客運對面泰安路旁(61格)
B區：中山路一段與建美路口(45格)","120.542015
120.542078","22.902712
22.901584",10,106,13,計次(30元/6小時),-
旗山區,平面,旗山轉運站,旗山轉運站旁,120.484760,22.884193,0,15,177,小型車計次(30元/6小時)、機車10元/日,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.4.1-114.3.31
旗山區,平面,旗山體育場,旗山體育場旁,120.480725,22.887265,0,20,0,"平日：計次(30元/6小時)
假日：計時(15元/半小時)",-
旗山區,平面,旗山老街觀光,美濃溪高灘地,120.485622,22.888282,0,300,0,不收費,-
阿蓮區,平面,如意公園,大崗山入口意象園區(台19甲末端附近),120.334220,22.852038,10,247,187,不收費,-
阿蓮區,平面,南連,消防局第五大隊第一中隊阿蓮分隊旁邊,120.329948,22.879128,0,26,0,計次(30元/6小時),-
阿蓮區,平面,德宜,文學一街與成功街(柏園公園隔壁),120.332282,22.884719,0,36,0,計次(30元/6小時),-
大社區,平面,"自強街
(大社停一)",區公所對面自強街,120.346801,22.730015,0,28,0,計次(30元/6小時),-
大社區,平面,觀音山,翠屏路108巷及鹽埕巷交叉路口,120.370916,22.728090,0,108,26,假日計次50元/6小時,-
大樹區,平面,統嶺社區,"北側：佛光山寺對面（482格）
南側：佛光山寺對面(1116格)","120.448231
120.449294","22.756314
22.751448",0,1598,0,"平日：計次(30元/6小時)
假日：計時(15元/半小時)",佛光山寺無償公益認養
大樹區,平面,大樹舊鐵橋,大樹舊鐵橋濕地生態公園園區內西北側,120.427514,22.665424,0,154,0,計次(30元/6小時),-
大樹區,平面,九曲堂,久堂路、新社街,120.418761,22.658123,0,46,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
湖內區,平面,長壽,長壽路128號對面,120.242858,22.884879,0,28,0,計次(30元/6小時),-
茄萣區,平面,興達,大發路(興達觀光漁市旁),120.192958,22.868525,15,140,0,"大型車計次(100元/6小時)
小型車計次(50元/6小時)","俥亭停車事業股份有限公司/服務電話:(07)6989640/
履約期間:108.10.1-112.9.30"
茄萣區,平面,崎漏,濱海路一段與建興街交口,120.191209,22.873595,0,41,0,不收費,全盈光電有限公司維護管理/服務電話：0800-035-518/履約期間:111.9.1-121.7.31
茄萣區,平面,金興,金鑾路、仁愛路,120.184924,22.896045,0,149,0,計次(30元/6小時),-
路竹區,平面,竹東,中正路106號對面,120.262748,22.856146,0,34,0,計次(30元/6小時),-
路竹區,平面,延平,延平路170號旁,120.256633,22.858268,0,42,0,計次(30元/6小時),-
路竹區,平面,民富,民強街及民富街交叉口,120.262850,22.854027,0,34,37,計次(30元/6小時),環球大宇宙太陽能工業有限公司維護管理/服務電話：0980-889-269/履約期間:110.6.1-120.4.30
永安區,平面,烏樹林,永安路一巷，永安宮廣場隔壁,120.224527,22.817869,0,12,0,不收費,-
燕巢區,平面,燕北,中北路238巷27-1號對面,120.36253,22.796874,0,24,0,不收費,全盈光電有限公司維護管理/服務電話：0800-035-518/履約期間:111.9.1-121.7.31
岡山區,平面,岡山平面,岡山路&民有路口,120.296250,22.791792,0,177,59,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
岡山區,平面,岡山戶政旁,岡山路345巷1號旁,120.294407,22.797346,0,57,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:111.02.1-116.1.31
岡山區,平面,中華路圓環,中華路與民族路交岔口西北側,120.288066,22.793843,0,20,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
岡山區,平面,和平公園,大德一路、竹圍東路,120.303830,22.797501,0,22,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
彌陀區,平面,彌陀公園,中正西路與中正北路交叉口,120.246585,22.784430,0,33,13,計次(30元/6小時),-
橋頭區,平面,仕興,仕豐路信義巷75號對面,120.309650,22.749817,0,32,0,計次(30元/6小時),-
橋頭區,平面,建樹,中正路48巷19號旁,120.224527,22.817869,0,31,0,計次(30元/6小時),-
